step,q_values
20000,0.07167895883321762
21000,1.1405935287475586
22000,2.144514560699463
23000,3.0250821113586426
24000,4.099573135375977
25000,4.885056495666504
26000,5.723356246948242
27000,6.682046890258789
28000,7.214572906494141
29000,8.245697975158691
30000,9.54445743560791
31000,10.341248512268066
32000,11.05989933013916
33000,11.946340560913086
34000,12.36863899230957
35000,12.970969200134277
36000,14.088563919067383
37000,14.176029205322266
38000,15.796931266784668
39000,16.279512405395508
40000,16.911964416503906
41000,18.19676399230957
42000,19.391098022460938
43000,19.75342559814453
44000,19.939945220947266
45000,20.921770095825195
46000,21.398651123046875
47000,21.61359214782715
48000,23.11337661743164
49000,23.989818572998047
50000,23.81496810913086
51000,26.487831115722656
52000,26.384843826293945
53000,25.848403930664062
54000,26.447404861450195
55000,28.860538482666016
56000,28.008941650390625
57000,30.431961059570312
58000,29.778301239013672
59000,30.24443817138672
60000,31.965505599975586
61000,31.85527801513672
62000,33.50409698486328
63000,34.531768798828125
64000,34.16111373901367
65000,34.721519470214844
66000,35.914588928222656
67000,35.42026901245117
68000,36.936363220214844
69000,37.10920715332031
70000,37.822940826416016
71000,38.57794189453125
72000,38.84122085571289
73000,39.795677185058594
74000,40.51622772216797
75000,39.548561096191406
76000,39.828975677490234
77000,42.93475341796875
78000,41.419063568115234
79000,42.58684539794922
80000,41.20869445800781
81000,43.00807189941406
82000,42.774009704589844
83000,45.357452392578125
84000,43.43992614746094
85000,43.741058349609375
86000,43.56990432739258
87000,44.60868453979492
88000,46.29064178466797
89000,45.59043884277344
90000,43.76701736450195
91000,45.4600830078125
92000,47.24028015136719
93000,45.648582458496094
94000,47.130619049072266
95000,48.4354248046875
96000,47.14112091064453
97000,50.25599670410156
98000,50.09521484375
99000,52.05128479003906
100000,49.06877136230469
101000,51.150367736816406
102000,53.99207305908203
103000,49.633846282958984
104000,52.41487121582031
105000,53.798622131347656
106000,51.70557403564453
107000,52.26411056518555
108000,53.69873809814453
109000,56.387901306152344
110000,55.7044677734375
111000,57.49498748779297
112000,53.219547271728516
113000,55.750633239746094
114000,53.59778594970703
115000,58.78920364379883
116000,59.30744171142578
117000,58.4678955078125
118000,57.01113510131836
119000,56.971534729003906
120000,59.39500045776367
121000,58.31727600097656
122000,58.83951950073242
123000,59.80936813354492
124000,60.69297790527344
125000,62.69068145751953
126000,59.71909713745117
127000,62.381568908691406
128000,63.84742736816406
129000,63.736053466796875
130000,62.77166748046875
131000,60.963768005371094
132000,63.400550842285156
133000,64.91893005371094
134000,61.86922836303711
135000,64.08804321289062
136000,67.02201080322266
137000,66.83621215820312
138000,68.56442260742188
139000,68.02997589111328
140000,66.98995208740234
141000,66.32933044433594
142000,66.38065338134766
143000,67.1001205444336
144000,69.86949157714844
145000,68.86954498291016
146000,69.08078002929688
147000,70.24251556396484
148000,69.27955627441406
149000,70.25651550292969
150000,70.79428100585938
151000,71.28531646728516
152000,72.54894256591797
153000,70.66485595703125
154000,74.13908386230469
155000,75.5574951171875
156000,74.30315399169922
157000,73.07806396484375
158000,77.00935363769531
159000,74.21719360351562
160000,75.37397766113281
161000,76.71710205078125
162000,76.32598876953125
163000,74.4576644897461
164000,72.37889099121094
165000,75.74821472167969
166000,77.02025604248047
167000,76.21891021728516
168000,78.48372650146484
169000,79.72384643554688
170000,77.48487091064453
171000,79.79711151123047
172000,78.1355972290039
173000,79.67681884765625
174000,76.52731323242188
175000,81.41011047363281
176000,79.46307373046875
177000,77.5806655883789
178000,81.2347412109375
179000,79.08052062988281
180000,81.10243225097656
181000,82.81690979003906
182000,82.70915222167969
183000,84.9859390258789
184000,82.97872924804688
185000,86.94593048095703
186000,85.07284545898438
187000,86.70584869384766
188000,84.6875991821289
189000,86.6025619506836
190000,87.89640808105469
191000,89.47824096679688
192000,89.66033935546875
193000,86.81590270996094
194000,86.40164184570312
195000,90.30247497558594
196000,89.16295623779297
197000,88.78248596191406
198000,88.01597595214844
199000,87.60511779785156
200000,94.26246643066406
201000,89.60980224609375
202000,89.47798156738281
203000,90.87676239013672
204000,91.887939453125
205000,92.865966796875
206000,91.93325805664062
207000,92.07726287841797
208000,89.95448303222656
209000,92.95944213867188
210000,91.38206481933594
211000,91.82061004638672
212000,91.44574737548828
213000,91.55586242675781
214000,91.65706634521484
215000,90.3007583618164
216000,87.5053482055664
217000,91.99732971191406
218000,91.88520050048828
219000,90.55987548828125
220000,91.04750061035156
221000,93.72744750976562
222000,89.8388671875
223000,88.58507537841797
224000,93.86836242675781
225000,93.43143463134766
226000,93.90961456298828
227000,90.42012023925781
228000,90.68476867675781
229000,94.33881378173828
230000,94.76676177978516
231000,90.80891418457031
232000,93.3506851196289
233000,91.32452392578125
234000,95.13810729980469
235000,86.42054748535156
236000,93.57180786132812
237000,94.80085754394531
238000,90.6106948852539
239000,91.46226501464844
240000,93.5838623046875
241000,91.55321502685547
242000,87.25064086914062
243000,94.43878936767578
244000,91.56845092773438
245000,92.89466857910156
246000,93.14142608642578
247000,95.77888488769531
248000,91.85279083251953
249000,94.01362609863281
250000,93.89269256591797
251000,97.22787475585938
252000,95.56849670410156
253000,96.68112182617188
254000,95.15507507324219
255000,97.90230560302734
256000,98.68836212158203
257000,96.02129364013672
258000,101.60169982910156
259000,96.669921875
260000,95.89205169677734
261000,100.75312805175781
262000,99.73735046386719
263000,100.1045150756836
264000,99.38351440429688
265000,99.05113220214844
266000,95.72126770019531
267000,93.54074096679688
268000,97.16645050048828
269000,100.69190216064453
270000,96.95826721191406
271000,99.01429748535156
272000,97.92587280273438
273000,102.82679748535156
274000,100.12738800048828
275000,93.69012451171875
276000,97.67478942871094
277000,96.19438171386719
278000,100.48027801513672
279000,97.37911987304688
280000,98.24705505371094
281000,101.73731231689453
282000,98.00631713867188
283000,96.57865142822266
284000,101.51100158691406
285000,100.3120346069336
286000,102.45372009277344
287000,94.73445129394531
288000,99.15048217773438
289000,100.51270294189453
290000,100.58539581298828
291000,103.09893035888672
292000,103.28992462158203
293000,102.01773071289062
294000,102.38998413085938
295000,100.69284057617188
296000,103.24864959716797
297000,92.73207092285156
298000,104.14397430419922
299000,97.712646484375
