step,critic_loss
20000,1.034533977508545
21000,0.1852857768535614
22000,0.28763312101364136
23000,0.11716852337121964
24000,0.08378875255584717
25000,0.10647575557231903
26000,0.09021312743425369
27000,0.08291785418987274
28000,0.8460679054260254
29000,0.393815815448761
30000,1.2262935638427734
31000,0.2654200494289398
32000,0.43386536836624146
33000,0.7701393365859985
34000,0.6506801843643188
35000,0.57602858543396
36000,1.0143139362335205
37000,0.26862281560897827
38000,4.533125400543213
39000,0.8651341795921326
40000,0.8843355178833008
41000,1.1447622776031494
42000,2.7259559631347656
43000,4.504836082458496
44000,1.0932583808898926
45000,0.9575088024139404
46000,3.6264994144439697
47000,3.9108829498291016
48000,7.296727180480957
49000,0.868955671787262
50000,2.3941266536712646
51000,3.1152825355529785
52000,1.8935096263885498
53000,8.464569091796875
54000,8.44481086730957
55000,2.7995829582214355
56000,8.97154426574707
57000,4.080287933349609
58000,8.011635780334473
59000,3.4807980060577393
60000,3.0855629444122314
61000,1.1883399486541748
62000,4.884984493255615
63000,12.561036109924316
64000,3.6441915035247803
65000,24.586124420166016
66000,16.40597915649414
67000,2.659061908721924
68000,29.10426902770996
69000,6.823995590209961
70000,12.403304100036621
71000,5.016319751739502
72000,22.160972595214844
73000,4.033919811248779
74000,1.6760519742965698
75000,34.90582275390625
76000,3.5589072704315186
77000,1.9274117946624756
78000,22.251014709472656
79000,2.618584156036377
80000,5.100572109222412
81000,10.032745361328125
82000,17.865062713623047
83000,2.7157704830169678
84000,24.987709045410156
85000,25.07563018798828
86000,3.743412494659424
87000,4.79364538192749
88000,4.76186466217041
89000,30.3499698638916
90000,29.506019592285156
91000,8.156396865844727
92000,26.334117889404297
93000,69.98756408691406
94000,7.696836471557617
95000,20.40379524230957
96000,18.571226119995117
97000,7.816051959991455
98000,9.975770950317383
99000,28.794889450073242
100000,9.93152141571045
101000,3.439042806625366
102000,9.446806907653809
103000,13.935479164123535
104000,9.457473754882812
105000,39.225372314453125
106000,36.570068359375
107000,31.84564971923828
108000,5.293049335479736
109000,5.983117580413818
110000,17.359703063964844
111000,73.62291717529297
112000,16.618457794189453
113000,4.914543628692627
114000,14.36518669128418
115000,11.611480712890625
116000,13.5332612991333
117000,36.388797760009766
118000,62.62843322753906
119000,62.4495849609375
120000,37.9287109375
121000,6.7135210037231445
122000,12.391571998596191
123000,11.663118362426758
124000,14.296045303344727
125000,8.600212097167969
126000,23.945388793945312
127000,56.52387237548828
128000,49.523990631103516
129000,18.671228408813477
130000,126.72364807128906
131000,93.75698852539062
132000,64.33638763427734
