step,q_values
20000,0.06600989401340485
21000,3.1646676063537598
22000,4.053245544433594
23000,4.866182804107666
24000,5.500751495361328
25000,6.686936378479004
26000,7.3059539794921875
27000,8.702089309692383
28000,9.075687408447266
29000,10.145328521728516
30000,10.711580276489258
31000,12.141916275024414
32000,12.544681549072266
33000,12.769816398620605
34000,13.012591361999512
35000,14.132966995239258
36000,13.879305839538574
37000,16.322463989257812
38000,16.551734924316406
39000,16.67426872253418
40000,17.910404205322266
41000,18.768150329589844
42000,19.50090789794922
43000,20.787403106689453
44000,20.421039581298828
45000,23.2836856842041
46000,23.29673957824707
47000,23.917930603027344
48000,23.431716918945312
49000,25.828649520874023
50000,26.455764770507812
51000,26.9948787689209
52000,27.95232582092285
53000,28.75889778137207
54000,29.645706176757812
55000,30.76239776611328
56000,32.83006286621094
57000,32.68218994140625
58000,34.65810012817383
59000,33.83122634887695
60000,33.937049865722656
61000,35.278961181640625
62000,35.160606384277344
63000,34.86330795288086
64000,37.15243911743164
65000,39.23945617675781
66000,38.12030792236328
67000,40.39817810058594
68000,40.76685333251953
69000,40.16851806640625
70000,42.897064208984375
71000,43.35552978515625
72000,44.07733154296875
73000,45.03543472290039
74000,45.43828582763672
75000,46.23247528076172
76000,46.49176025390625
77000,46.63911437988281
78000,48.75954818725586
79000,47.89997100830078
80000,48.89320373535156
81000,49.19811248779297
82000,51.189178466796875
83000,52.682125091552734
84000,52.076560974121094
85000,55.113243103027344
86000,54.71577453613281
87000,55.9116325378418
88000,56.160152435302734
89000,56.90724563598633
90000,56.42778015136719
91000,56.72874450683594
92000,56.33080291748047
93000,56.104705810546875
94000,57.02244567871094
95000,56.190574645996094
96000,55.628318786621094
97000,56.96192932128906
98000,57.65059280395508
99000,58.04056167602539
100000,58.479347229003906
101000,58.42715072631836
102000,57.33322525024414
103000,57.39915466308594
104000,59.83000183105469
105000,57.692386627197266
106000,59.9766731262207
107000,61.12622833251953
108000,61.38025665283203
109000,63.84709930419922
110000,61.434452056884766
111000,64.76971435546875
112000,62.32063674926758
113000,66.00228881835938
114000,65.64164733886719
115000,63.597496032714844
116000,64.9049072265625
117000,64.30355072021484
118000,65.43437194824219
119000,64.39410400390625
120000,65.64804077148438
121000,67.13317108154297
122000,66.73470306396484
123000,68.55779266357422
124000,66.0321044921875
125000,68.62271118164062
126000,69.57500457763672
127000,69.13384246826172
128000,70.78978729248047
129000,69.77245330810547
130000,69.45211791992188
131000,68.61961364746094
132000,72.06587982177734
133000,71.50531005859375
134000,69.40322875976562
135000,70.41304016113281
136000,69.89496612548828
137000,71.76315307617188
138000,70.1019058227539
139000,69.63914489746094
140000,70.35762023925781
141000,70.38988494873047
142000,70.32887268066406
143000,69.49966430664062
144000,70.65330505371094
145000,71.70872497558594
146000,70.70135498046875
147000,72.00593566894531
148000,72.215087890625
149000,71.69615173339844
150000,71.47052001953125
151000,72.85447692871094
152000,71.49991607666016
153000,73.90845489501953
154000,74.17584228515625
155000,72.83487701416016
156000,75.48902893066406
157000,76.64310455322266
158000,75.34520721435547
159000,73.93389892578125
160000,75.02656555175781
161000,76.23941040039062
162000,76.35620880126953
163000,76.91743469238281
164000,77.52483367919922
165000,77.93399047851562
166000,76.92469787597656
167000,78.93741607666016
168000,78.68412780761719
169000,75.85813903808594
170000,79.73701477050781
171000,79.16957092285156
172000,79.21005249023438
173000,78.92359924316406
174000,79.92266845703125
175000,76.7149658203125
176000,78.77778625488281
177000,76.23387908935547
178000,79.66752624511719
179000,76.51029968261719
180000,76.92817687988281
181000,77.35782623291016
182000,78.59994506835938
183000,80.3726806640625
184000,79.41117095947266
185000,77.84011840820312
186000,79.3428955078125
187000,78.58821868896484
188000,81.15841674804688
189000,81.51345825195312
190000,80.20333099365234
191000,80.84886169433594
192000,81.07408905029297
193000,83.03871154785156
194000,82.40069580078125
195000,79.88565063476562
196000,84.44580078125
197000,82.349853515625
198000,82.75789642333984
199000,83.63671875
200000,83.75590515136719
201000,84.45489501953125
202000,85.04959106445312
203000,85.45573425292969
204000,83.09188842773438
205000,83.80326843261719
206000,86.21393585205078
207000,83.42628479003906
208000,82.88473510742188
209000,81.50491333007812
210000,83.62556457519531
211000,83.97150421142578
212000,82.68450164794922
213000,85.4540786743164
214000,86.12725830078125
215000,84.4295654296875
216000,88.43519592285156
217000,88.42216491699219
218000,86.93115234375
